lineup_id,manager_id,game_date,player_id,status,locked_at
1,1,2026-01-05,44,active,2026-01-05 07:22:32.317355
2,1,2026-01-05,20,active,2026-01-05 07:22:32.317365
3,1,2026-01-05,28,active,2026-01-05 07:22:32.317370
4,1,2026-01-05,11,bench,2026-01-05 07:22:32.317373
5,1,2026-01-05,17,bench,2026-01-05 07:22:32.317375
6,1,2026-01-05,6,bench,2026-01-05 07:22:32.317377
7,6,2026-01-05,13,active,manual
8,6,2026-01-05,45,bench,manual
9,6,2026-01-05,31,active,manual
10,6,2026-01-05,49,bench,manual
11,6,2026-01-05,23,bench,manual
12,6,2026-01-05,12,active,manual
13,7,2026-01-05,26,bench,manual
14,7,2026-01-05,42,bench,manual
15,7,2026-01-05,21,active,manual
16,7,2026-01-05,47,active,manual
17,7,2026-01-05,10,active,manual
18,7,2026-01-05,16,bench,manual
19,8,2026-01-05,27,bench,manual
20,8,2026-01-05,8,active,manual
21,8,2026-01-05,15,active,manual
22,8,2026-01-05,34,bench,manual
23,8,2026-01-05,22,active,manual
24,8,2026-01-05,35,bench,manual
25,2,2026-01-05,43,active,manual
26,2,2026-01-05,14,bench,manual
27,2,2026-01-05,9,bench,manual
28,2,2026-01-05,5,active,manual
29,2,2026-01-05,3,active,manual
30,2,2026-01-05,4,bench,manual
31,4,2026-01-05,33,active,2026-01-05T17:48:15.973193
32,4,2026-01-05,30,bench,2026-01-05T17:48:15.973204
33,4,2026-01-05,36,active,2026-01-05T17:48:15.973208
34,4,2026-01-05,25,active,2026-01-05T17:48:15.973212
35,4,2026-01-05,18,bench,2026-01-05T17:48:15.973216
36,4,2026-01-05,24,bench,2026-01-05T17:48:15.973220
37,3,2026-01-05,2,active,auto-generated
38,3,2026-01-05,7,active,auto-generated
39,3,2026-01-05,37,active,auto-generated
40,3,2026-01-05,39,bench,auto-generated
41,3,2026-01-05,41,bench,auto-generated
42,3,2026-01-05,48,bench,auto-generated
43,5,2026-01-05,1,active,auto-generated
44,5,2026-01-05,29,active,auto-generated
45,5,2026-01-05,32,active,auto-generated
46,5,2026-01-05,50,bench,auto-generated
47,5,2026-01-05,40,bench,auto-generated
48,5,2026-01-05,46,bench,auto-generated
